data__locator_id,data__facility_name,data__city,data__state,data__tie_facility,data__artcc_id
0C2,HINCKLEY ARPT,HINCKLEY,ILLINOIS,IKK,ZAU
0C4,PENDER MUNI ARPT,PENDER,NEBRASKA,OLU,ZMP
0C5,CANADIAN LAKES ARPT,MECOSTA,MICHIGAN,LAN,ZAU
0C8,CUSHING FLD LTD ARPT,NEWARK,ILLINOIS,IKK,ZAU
0CA0,POM WONDERFUL AIRSTRIP ARPT,DEL REY,CALIFORNIA,RIU,ZOA
0CA1,SUTTER MEDICAL CENTER CASTRO VALLEY HELIPORT,CASTRO VALLEY,CALIFORNIA,OAK,ZOA
0CA2,VA GREATER LOS ANGELES HEALTH CARE CENTER HELIPORT,WEST LOS ANGELES,CALIFORNIA,HHR,ZLA
0CA3,CRAWFORD ARPT,SANTA YNEZ,CALIFORNIA,HHR,ZLA
0CA4,SHEPHERD FARM ARPT,SANTA YNEZ,CALIFORNIA,HHR,ZLA
0CA5,HOFFMAN ARPT,SANTA YSABEL,CALIFORNIA,SAN,ZLA
0CA6,EMORY RANCH ARPT,OCOTILLO,CALIFORNIA,SAN,ZLA
0CA9,BLECH RANCH ARPT,SHANDON,CALIFORNIA,HHR,ZOA
0CD0,DELTA COUNTY MEML HOSPITAL HELIPORT,DELTA,COLORADO,DEN,ZDV
0CD1,COLORADO PLAINS MEDICAL CENTER HELIPORT,FORT MORGAN,COLORADO,DEN,ZDV
0CD2,FOXX VALLEY ARPT,YODER,COLORADO,DEN,ZDV
0CD4,KAUFFMAN HELIPORT,DENVER,COLORADO,DEN,ZDV
0CD5,PINON CANYON ARPT,TRINIDAD,COLORADO,DEN,ZDV
0CD6,EXEMPLA GOOD SAMARITAN HELIPORT,LAFAYETTE,COLORADO,DEN,ZDV
0CD7,FOX HOLE ARPT,LAFAYETTE,COLORADO,DEN,ZDV
